layer,kl_mean,kl_std,method,model
14,15.862426,5.3096523,awq,google_gemma-3-4b-it
15,16.345253,4.7963953,awq,google_gemma-3-4b-it
16,15.729552,5.008075,awq,google_gemma-3-4b-it
17,15.854506,4.8139396,awq,google_gemma-3-4b-it
18,15.879962,4.5973845,awq,google_gemma-3-4b-it
19,15.726975,4.397211,awq,google_gemma-3-4b-it
20,15.580273,4.4598165,awq,google_gemma-3-4b-it
21,14.224252,4.7001486,awq,google_gemma-3-4b-it
22,14.562833,4.5637145,awq,google_gemma-3-4b-it
23,14.530366,4.715963,awq,google_gemma-3-4b-it
24,14.61457,4.7156167,awq,google_gemma-3-4b-it
25,14.107153,4.5960965,awq,google_gemma-3-4b-it
26,14.37621,4.597632,awq,google_gemma-3-4b-it
27,13.502638,4.885317,awq,google_gemma-3-4b-it
28,14.44337,4.7382956,awq,google_gemma-3-4b-it
29,14.703114,5.2726073,awq,google_gemma-3-4b-it
30,15.500742,5.1928573,awq,google_gemma-3-4b-it
31,16.667006,5.0447035,awq,google_gemma-3-4b-it
32,16.01411,5.949514,awq,google_gemma-3-4b-it
33,15.259176,6.3186083,awq,google_gemma-3-4b-it
0,19.414734,3.1746738,hqq,google_gemma-3-4b-it
1,19.358582,2.4841475,hqq,google_gemma-3-4b-it
2,19.214111,2.7500587,hqq,google_gemma-3-4b-it
3,19.24818,2.9813554,hqq,google_gemma-3-4b-it
4,19.331537,2.929607,hqq,google_gemma-3-4b-it
5,19.374098,2.8000903,hqq,google_gemma-3-4b-it
6,19.559687,2.5266447,hqq,google_gemma-3-4b-it
7,19.632265,2.35546,hqq,google_gemma-3-4b-it
8,19.62383,2.393265,hqq,google_gemma-3-4b-it
9,19.65163,2.3583028,hqq,google_gemma-3-4b-it
10,19.555529,2.6724515,hqq,google_gemma-3-4b-it
11,19.482113,2.7486405,hqq,google_gemma-3-4b-it
12,19.093517,3.2030208,hqq,google_gemma-3-4b-it
13,18.895117,3.3482118,hqq,google_gemma-3-4b-it
14,18.508692,3.7753417,hqq,google_gemma-3-4b-it
15,18.344803,3.7822483,hqq,google_gemma-3-4b-it
16,17.73286,3.978423,hqq,google_gemma-3-4b-it
17,16.542707,4.470413,hqq,google_gemma-3-4b-it
18,15.67552,4.6936035,hqq,google_gemma-3-4b-it
19,15.289979,4.646791,hqq,google_gemma-3-4b-it
20,14.307989,4.941755,hqq,google_gemma-3-4b-it
21,13.226263,5.1982756,hqq,google_gemma-3-4b-it
22,12.677081,4.9812107,hqq,google_gemma-3-4b-it
23,11.674937,5.2796187,hqq,google_gemma-3-4b-it
24,11.457228,5.1728563,hqq,google_gemma-3-4b-it
25,11.37733,5.099377,hqq,google_gemma-3-4b-it
26,11.107359,5.2314434,hqq,google_gemma-3-4b-it
27,11.167792,5.5043335,hqq,google_gemma-3-4b-it
28,11.485142,5.500092,hqq,google_gemma-3-4b-it
29,11.661424,5.518166,hqq,google_gemma-3-4b-it
30,11.823899,5.716289,hqq,google_gemma-3-4b-it
31,12.336796,6.0555377,hqq,google_gemma-3-4b-it
32,12.210207,6.304398,hqq,google_gemma-3-4b-it
33,12.646881,6.4013734,hqq,google_gemma-3-4b-it
0,19.353804,3.5385592,fp8,google_gemma-3-4b-it
1,19.221708,2.584556,fp8,google_gemma-3-4b-it
2,19.416779,2.3502567,fp8,google_gemma-3-4b-it
3,19.406578,2.7269769,fp8,google_gemma-3-4b-it
4,19.584188,2.5019221,fp8,google_gemma-3-4b-it
5,19.436413,2.787498,fp8,google_gemma-3-4b-it
6,19.686989,2.2074823,fp8,google_gemma-3-4b-it
7,19.826014,1.9186519,fp8,google_gemma-3-4b-it
